Ticker,SMA-50 Value,SMA-200 Value,Signal as of 31 Dec 2024,Date of Last Crossover
APOLLOHOSP.NS,7056.82,6565.78,Golden Cross,No crossover in window
AXISBANK.NS,1143.2,1160.5,Death Cross,2024-12-12
CIPLA.NS,1486.84,1493.14,Death Cross,2024-12-24
DIVISLAB.NS,5902.24,4851.42,Golden Cross,2024-05-16
DRREDDY.NS,1264.83,1268.54,Death Cross,2024-12-13
HCLTECH.NS,1793.46,1560.2,Golden Cross,2024-07-22
HDFCBANK.NS,877.13,805.41,Golden Cross,2024-06-19
ICICIBANK.NS,1283.17,1189.13,Golden Cross,No crossover in window
INFY.NS,1824.44,1650.15,Golden Cross,2024-07-12
KOTAKBANK.NS,351.79,353.39,Death Cross,2024-12-26
SBIN.NS,811.96,795.25,Golden Cross,No crossover in window
SUNPHARMA.NS,1789.58,1662.53,Golden Cross,No crossover in window
TCS.NS,3988.15,3898.83,Golden Cross,No crossover in window
TECHM.NS,1666.05,1441.97,Golden Cross,No crossover in window
WIPRO.NS,272.5,244.27,Golden Cross,No crossover in window
