Stock,Annualised Return (%),Annualised Volatility (%),Sharpe Ratio,Beta vs Nifty 50,Maximum Drawdown (%),50/200 SMA Signal
APOLLOHOSP.NS,29.26,21.74,1.05,0.56,14.87,Golden Cross
AXISBANK.NS,6.62,21.9,0.01,1.06,19.18,Death Cross
CIPLA.NS,21.12,24.07,0.61,0.33,20.77,Death Cross
DIVISLAB.NS,36.61,26.26,1.15,0.45,21.45,Golden Cross
DRREDDY.NS,29.85,19.45,1.2,0.43,15.61,Death Cross
HCLTECH.NS,42.71,21.37,1.69,0.79,21.66,Golden Cross
HDFCBANK.NS,5.81,19.8,-0.03,1.04,19.91,Golden Cross
ICICIBANK.NS,20.81,18.34,0.78,0.97,9.45,Golden Cross
INFY.NS,14.74,23.09,0.36,0.9,24.34,Golden Cross
KOTAKBANK.NS,-1.01,20.47,-0.37,0.86,23.15,Death Cross
SBIN.NS,16.51,25.57,0.39,1.39,17.48,Golden Cross
SUNPHARMA.NS,40.23,17.37,1.94,0.47,12.24,Golden Cross
TCS.NS,15.58,19.71,0.46,0.75,13.17,Golden Cross
TECHM.NS,35.36,25.16,1.15,0.87,16.22,Golden Cross
WIPRO.NS,24.99,24.15,0.77,1.07,19.53,Golden Cross
